dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,Intensity Score,US lat,US lon,Race,Fandom Level,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Oklahoma City Thunder,NBA,Flowing Wells,Tucson,Tucson,85705,0,32.271355,-110.992051,Black,convertible,19,27,19,33,31,12,25,0,21,12,3,21,6,0,0,0
Fans,Oklahoma City Thunder,NBA,Fort Leonard Wood,Fort Leonard Wood,Fort Leonard Wood,65473,0,37.767687,-92.111975,Black,convertible,0,5,12,0,0,0,12,0,4,9,17,8,1,0,0,0
Fans,Oklahoma City Thunder,NBA,Fort Smith,Fort Smith,Fort Smith,72901,8,35.366188,-94.416458,Black,casual,26,32,14,19,50,10,4,19,9,8,20,14,6,0,0,0
Fans,Oklahoma City Thunder,NBA,Franklin Square,Franklin Square,Franklin Square,11010,0,40.700101,-73.674074,Black,convertible,0,14,0,0,0,0,0,0,0,0,0,5,15,0,6,12
Fans,Oklahoma City Thunder,NBA,Friendly,Friendly,Friendly,26146,0,39.496137,-81.057241,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Garden City,Garden City,Garden City,11530,0,40.726801,-73.639723,Black,convertible,3,0,0,0,8,0,0,0,0,2,0,0,0,7,0,5
Fans,Oklahoma City Thunder,NBA,Glenn Heights,Red Oak,Red Oak,75154,0,32.51764,-96.80444,Black,convertible,57,19,1,13,14,20,16,18,17,53,134,220,95,178,227,123
Fans,Oklahoma City Thunder,NBA,Glenpool,Glenpool,Glenpool,74033,0,35.95537,-96.00888,Black,convertible,0,0,0,0,5,6,0,6,0,2,10,0,10,6,0,0
Fans,Oklahoma City Thunder,NBA,Goddard,Goddard,Goddard,67052,2,37.663432,-97.579616,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Golden Valley,Minneapolis,Minneapolis,55427,3,44.999964,-93.390979,Black,convertible,7,13,2,28,24,2,5,0,4,38,27,43,35,33,14,19
Fans,Oklahoma City Thunder,NBA,Goldens Bridge,Goldens Bridge,Goldens Bridge,10526,0,41.300361,-73.647891,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Goldsby,Washington,Washington,73093,19,35.105058,-97.468258,Black,casual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Gordonsville,Gordonsville,Gordonsville,38563,0,36.17256,-85.92971,Black,convertible,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,1
Fans,Oklahoma City Thunder,NBA,Greenacres,West Palm Beach,West Palm Beach,33413,0,26.655494,-80.159616,Black,convertible,12,0,4,26,11,13,4,6,7,97,72,70,56,72,25,21
Fans,Oklahoma City Thunder,NBA,Groton,Groton,Groton,13073,0,42.579298,-76.392709,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0
Fans,Oklahoma City Thunder,NBA,Guthrie,Guthrie,Guthrie,73044,49,35.877129,-97.456312,Black,avid,15,18,13,1,17,6,12,8,19,8,11,25,4,2,0,0
Fans,Oklahoma City Thunder,NBA,Hacienda Heights,Hacienda Heights,Hacienda Heights,91745,0,33.976114,-117.981631,Black,convertible,0,0,0,0,8,2,0,0,1,0,0,10,0,3,3,13
Fans,Oklahoma City Thunder,NBA,Hamden,Hamden,Hamden,6514,0,41.372723,-72.938747,Black,convertible,38,7,17,49,31,26,36,15,42,35,109,138,85,80,130,31
Fans,Oklahoma City Thunder,NBA,Harrah,Harrah,Harrah,73045,0,35.48951,-97.16364,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Fans,Oklahoma City Thunder,NBA,Harvey,Harvey,Harvey,60426,0,41.61003,-87.64671,Black,convertible,207,122,163,101,114,128,69,104,20,129,87,142,59,111,31,43
Fans,Oklahoma City Thunder,NBA,Hatboro,Hatboro,Hatboro,19040,0,40.182406,-75.106265,Black,convertible,0,0,0,0,0,0,0,0,0,15,10,2,5,13,6,16
Fans,Oklahoma City Thunder,NBA,Healdton,Healdton,Healdton,73438,0,34.23315,-97.4878,Black,convertible,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Hendersonville,Hendersonville,Hendersonville,37075,0,36.347551,-86.612045,Black,convertible,15,9,7,0,40,10,4,37,15,29,60,110,130,41,66,18
Fans,Oklahoma City Thunder,NBA,Hennessey,Hennessey,Hennessey,73742,0,36.1092,-97.89867,Black,convertible,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Hollister,Hollister,Hollister,95023,0,36.828078,-121.3924,Black,convertible,6,4,0,0,0,0,0,28,0,0,13,5,6,0,8,3
Fans,Oklahoma City Thunder,NBA,Hot Springs,Hot Springs National Park,Hot Springs National Park,71901,0,34.526841,-92.958697,Black,convertible,93,84,28,9,42,9,20,14,19,16,6,46,20,5,0,0
Fans,Oklahoma City Thunder,NBA,Hudson,Hudson,Hudson,34667,0,28.382489,-82.64803,Black,convertible,14,0,7,12,0,0,5,0,0,4,8,16,7,0,0,0
Fans,Oklahoma City Thunder,NBA,Huntington Station,Huntington Station,Huntington Station,11746,0,40.814348,-73.363363,Black,convertible,10,23,9,14,14,3,3,0,9,20,18,9,34,28,31,109
Fans,Oklahoma City Thunder,NBA,Huntsville,Huntsville,Huntsville,35801,0,34.718428,-86.556439,Black,convertible,27,28,23,0,1,5,0,2,0,3,15,11,0,3,10,14
Fans,Oklahoma City Thunder,NBA,Huron Charter Township,New Boston,New Boston,48164,0,42.135225,-83.390422,Black,convertible,0,2,0,4,0,0,0,0,0,0,1,1,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Inola,Inola,Inola,74036,0,36.169526,-95.521145,Black,convertible,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0
Fans,Oklahoma City Thunder,NBA,Island Lake,Island Lake,Island Lake,60042,0,42.27179,-88.188464,Black,convertible,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Jenks,Jenks,Jenks,74037,19,36.006567,-95.980972,Black,casual,0,8,0,2,0,4,6,2,16,0,11,8,5,4,6,4
Fans,Oklahoma City Thunder,NBA,Juneau,Juneau,Juneau,99801,0,58.373561,-134.523946,Black,convertible,0,0,1,9,0,0,0,0,0,0,2,2,0,2,0,6
Fans,Oklahoma City Thunder,NBA,Kamas,Kamas,Kamas,84036,0,40.667933,-111.312427,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Fans,Oklahoma City Thunder,NBA,Kenosha,Kenosha,Kenosha,53140,0,42.622449,-87.830375,Black,convertible,53,41,18,6,19,11,23,23,8,4,27,20,12,23,8,0
Fans,Oklahoma City Thunder,NBA,Kiawah Island,Johns Island,Johns Island,29455,0,32.624718,-80.040587,Black,convertible,20,24,5,13,26,6,16,24,2,41,42,42,12,19,0,0
Fans,Oklahoma City Thunder,NBA,Kingfisher,Kingfisher,Kingfisher,73750,0,35.897508,-97.92563,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Kingsville,Kingsville,Kingsville,78363,0,27.422876,-97.84068,Black,convertible,47,16,0,0,8,4,0,0,0,5,12,7,0,0,2,0
Fans,Oklahoma City Thunder,NBA,Kirbyville,Kirbyville,Kirbyville,75956,0,30.658273,-93.8984,Black,convertible,0,0,33,2,7,0,2,19,1,0,18,6,1,0,0,0
Fans,Oklahoma City Thunder,NBA,La Conner,La Conner,La Conner,98257,0,48.414123,-122.508364,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Fans,Oklahoma City Thunder,NBA,La Grange,La Grange,La Grange,60525,0,41.78443,-87.868953,Black,convertible,0,0,7,0,0,0,3,5,4,5,14,6,11,2,4,6
Fans,Oklahoma City Thunder,NBA,La Puente,La Puente,La Puente,91744,0,34.031415,-117.93647,Black,convertible,8,1,2,3,5,0,3,3,0,4,7,8,4,15,15,0
Fans,Oklahoma City Thunder,NBA,LaPlace,La Place,La Place,70068,0,30.107701,-90.42675,Black,convertible,51,109,60,11,112,148,112,73,30,101,156,187,112,164,112,49
Fans,Oklahoma City Thunder,NBA,Lake Grove,Lake Grove,Lake Grove,11755,0,40.85185,-73.129003,Black,convertible,0,0,0,3,0,0,0,0,0,6,0,0,0,2,0,11
Fans,Oklahoma City Thunder,NBA,Lake Zurich,Lake Zurich,Lake Zurich,60047,0,42.216543,-88.076942,Black,convertible,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,26
Fans,Oklahoma City Thunder,NBA,Lakewood,Lakewood,Lakewood,18439,0,41.828081,-75.396741,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Lancaster,Lancaster,Lancaster,17601,6,40.076553,-76.31068,Black,convertible,29,0,0,8,28,8,0,0,11,0,34,26,28,8,0,3
Fans,Oklahoma City Thunder,NBA,Lansing,Lansing,Lansing,48911,0,42.680335,-84.543494,Black,convertible,126,101,114,62,58,50,65,52,66,72,108,175,95,49,21,22
Fans,Oklahoma City Thunder,NBA,Latta,Latta,Latta,29565,0,34.384337,-79.478122,Black,convertible,56,34,26,13,22,24,22,1,16,1,19,23,44,2,2,0
Fans,Oklahoma City Thunder,NBA,Lawton,Lawton,Lawton,73501,28,34.557945,-98.290973,Black,casual,57,41,30,44,33,15,19,17,12,45,69,32,26,12,0,8
Fans,Oklahoma City Thunder,NBA,Lincoln Village,Columbus,Columbus,43228,0,39.966378,-83.125661,Black,convertible,174,91,113,75,54,42,56,44,29,102,180,140,37,24,22,5
Fans,Oklahoma City Thunder,NBA,Lindsay,Lindsay,Lindsay,73052,0,34.836481,-97.51668,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Lino Lakes,Circle Pines,Circle Pines,55014,0,45.185565,-93.129272,Black,convertible,0,2,0,0,13,9,2,2,0,0,0,7,3,2,0,0
Fans,Oklahoma City Thunder,NBA,Lombard,Lombard,Lombard,60148,0,41.869829,-88.003864,Black,convertible,48,12,9,7,3,7,4,2,6,32,18,86,9,33,17,16
Fans,Oklahoma City Thunder,NBA,Lone Grove,Lone Grove,Lone Grove,73443,0,34.141332,-97.321977,Black,convertible,0,2,0,0,4,6,0,0,0,0,0,3,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Loveland,Loveland,Loveland,80537,0,40.364469,-105.179966,Black,convertible,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3
Fans,Oklahoma City Thunder,NBA,Lyndon,Lyndon,Lyndon,66451,0,38.622848,-95.656131,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Mannford,Mannford,Mannford,74044,39,36.079255,-96.378373,Black,casual,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Manor,Manor,Manor,78653,0,30.343501,-97.512902,Black,convertible,1,6,17,0,5,1,4,10,39,24,44,89,116,64,39,26
Fans,Oklahoma City Thunder,NBA,Marshfield,Marshfield,Marshfield,2050,0,42.111805,-70.710744,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Fans,Oklahoma City Thunder,NBA,Mason City,Mason City,Mason City,50401,0,43.116477,-93.270559,Black,convertible,7,10,9,0,4,0,4,0,0,0,19,8,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Maumelle,Maumelle,Maumelle,72113,0,34.857241,-92.390298,Black,convertible,39,53,70,2,0,22,0,94,32,132,38,199,30,53,21,57
Fans,Oklahoma City Thunder,NBA,McConnell Air Force Base,Mcconnell Afb,Mcconnell Afb,67221,0,37.692236,-97.337545,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Medicine Park,Medicine Park,Medicine Park,73557,19,34.72924,-98.50256,Black,casual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Melville,Melville,Melville,11747,5,40.787248,-73.405573,Black,convertible,0,0,0,9,0,0,0,0,0,0,2,3,0,0,7,0
Fans,Oklahoma City Thunder,NBA,Miami,Miami,Miami,33101,0,25.779298,-80.198739,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Midwest City,Oklahoma City,Oklahoma City,73110,43,35.460511,-97.397441,Black,avid,89,90,50,102,34,38,38,66,42,56,105,82,41,41,4,6
Fans,Oklahoma City Thunder,NBA,Milan,Milan,Milan,38358,0,35.920312,-88.813982,Black,convertible,20,43,4,38,0,37,13,3,11,4,22,17,29,0,0,15
Fans,Oklahoma City Thunder,NBA,Mineola,Mineola,Mineola,11501,0,40.74927,-73.64068,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,21
Fans,Oklahoma City Thunder,NBA,Monroe,Monroe,Monroe,10950,0,41.33065,-74.18681,Black,convertible,3,4,0,0,0,0,12,1,0,0,18,16,21,18,36,15
Fans,Oklahoma City Thunder,NBA,Moore,Oklahoma City,Oklahoma City,73160,24,35.332438,-97.475217,Black,casual,26,14,0,9,0,18,9,5,20,19,28,85,41,17,32,19
Fans,Oklahoma City Thunder,NBA,Moran,Moran,Moran,66755,0,37.914394,-95.197671,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Mount Charleston,Las Vegas,Las Vegas,89124,0,36.114842,-115.613219,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Mount Vernon,Mount Vernon,Mount Vernon,43050,0,40.37066,-82.481346,Black,convertible,4,0,0,4,0,6,0,5,0,0,0,4,0,0,6,0
Fans,Oklahoma City Thunder,NBA,Munsons Corners,Cortland,Cortland,13045,0,42.614268,-76.120128,Black,convertible,6,10,19,0,7,11,0,0,3,15,0,0,5,0,0,0
Fans,Oklahoma City Thunder,NBA,Muskogee,Muskogee,Muskogee,74401,16,35.70582,-95.50025,Black,casual,71,48,7,40,63,29,31,36,19,27,20,69,20,12,7,2
Fans,Oklahoma City Thunder,NBA,Mustang,Mustang,Mustang,73064,0,35.390376,-97.759874,Black,convertible,7,3,0,7,0,0,2,0,0,0,10,11,0,3,10,2
Fans,Oklahoma City Thunder,NBA,Newcastle,Newcastle,Newcastle,73065,18,35.219694,-97.574274,Black,casual,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Nichols Hills,Oklahoma City,Oklahoma City,73116,100,35.546701,-97.564592,Black,avid,5,0,0,0,5,12,0,0,11,0,0,4,8,0,0,0
Fans,Oklahoma City Thunder,NBA,Nicoma Park,Nicoma Park,Nicoma Park,73066,0,35.500215,-97.327478,Black,convertible,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Noble,Noble,Noble,73068,0,35.152314,-97.276226,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Norman,Norman,Norman,73069,21,35.249662,-97.462408,Black,casual,15,12,21,4,0,0,2,27,2,20,0,8,5,0,1,0
Fans,Oklahoma City Thunder,NBA,North Baltimore,North Baltimore,North Baltimore,45872,0,41.204236,-83.6837,Black,convertible,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,North Little Rock,North Little Rock,North Little Rock,72114,3,34.766561,-92.262899,Black,convertible,209,136,154,48,76,71,42,45,28,35,20,48,3,5,1,0
Fans,Oklahoma City Thunder,NBA,Northfield,Northfield,Northfield,1360,0,42.677091,-72.453876,Black,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
